LAST SEEN   TYPE      REASON              OBJECT                                 MESSAGE
21h         Normal    Scheduled           pod/web-deployment-76ddf5fcf9-szxd8    Successfully assigned dso202-practical-01/web-deployment-76ddf5fcf9-szxd8 to worker-node-1
21h         Normal    Scheduled           pod/web-imperative                     Successfully assigned dso202-practical-01/web-imperative to worker-node-1
21h         Normal    Scheduled           pod/web-deployment-76ddf5fcf9-l8bb4    Successfully assigned dso202-practical-01/web-deployment-76ddf5fcf9-l8bb4 to worker-node-2
20h         Normal    Scheduled           pod/web-deployment-67499b7844-d5s86    Successfully assigned dso202-practical-01/web-deployment-67499b7844-d5s86 to worker-node-2
21h         Normal    Scheduled           pod/web-deployment-76ddf5fcf9-v9fqc    Successfully assigned dso202-practical-01/web-deployment-76ddf5fcf9-v9fqc to worker-node-1
21h         Normal    Scheduled           pod/web-deployment-76ddf5fcf9-rrnsg    Successfully assigned dso202-practical-01/web-deployment-76ddf5fcf9-rrnsg to worker-node-2
21h         Normal    Scheduled           pod/web-deployment-76ddf5fcf9-wndb5    Successfully assigned dso202-practical-01/web-deployment-76ddf5fcf9-wndb5 to worker-node-2
21h         Normal    Scheduled           pod/web-deployment-76ddf5fcf9-ngwfc    Successfully assigned dso202-practical-01/web-deployment-76ddf5fcf9-ngwfc to worker-node-2
21h         Normal    Scheduled           pod/web-deployment-ddd46bfd-tkzbg      Successfully assigned dso202-practical-01/web-deployment-ddd46bfd-tkzbg to worker-node-2
21h         Normal    Started             pod/web-imperative                     Container started
21h         Normal    Created             pod/web-imperative                     Container created
21h         Normal    Pulled              pod/web-imperative                     Container image "nginx:1.30-alpine" already present on machine and can be accessed by the pod
21h         Normal    Killing             pod/web-imperative                     Stopping container web-imperative
21h         Normal    SuccessfulCreate    replicaset/web-deployment-76ddf5fcf9   Created pod: web-deployment-76ddf5fcf9-v9fqc
21h         Normal    SuccessfulCreate    replicaset/web-deployment-76ddf5fcf9   Created pod: web-deployment-76ddf5fcf9-wndb5
21h         Normal    ScalingReplicaSet   deployment/web-deployment              Scaled up replica set web-deployment-76ddf5fcf9 from 0 to 3
21h         Normal    SuccessfulCreate    replicaset/web-deployment-76ddf5fcf9   Created pod: web-deployment-76ddf5fcf9-rrnsg
21h         Normal    Pulling             pod/web-deployment-76ddf5fcf9-rrnsg    Pulling image "nginx:1.30-alpine"
21h         Normal    Started             pod/web-deployment-76ddf5fcf9-v9fqc    Container started
21h         Normal    Created             pod/web-deployment-76ddf5fcf9-v9fqc    Container created
21h         Normal    Pulled              pod/web-deployment-76ddf5fcf9-v9fqc    Container image "nginx:1.30-alpine" already present on machine and can be accessed by the pod
21h         Normal    Pulling             pod/web-deployment-76ddf5fcf9-wndb5    Pulling image "nginx:1.30-alpine"
21h         Normal    Started             pod/web-deployment-76ddf5fcf9-wndb5    Container started
21h         Normal    Pulled              pod/web-deployment-76ddf5fcf9-wndb5    Successfully pulled image "nginx:1.30-alpine" in 7m26.56s (7m26.56s including waiting). Image size: 25956490 bytes.
21h         Normal    Created             pod/web-deployment-76ddf5fcf9-wndb5    Container created
21h         Normal    Started             pod/web-deployment-76ddf5fcf9-rrnsg    Container started
21h         Normal    Pulled              pod/web-deployment-76ddf5fcf9-rrnsg    Successfully pulled image "nginx:1.30-alpine" in 7.532s (7m34.086s including waiting). Image size: 25956490 bytes.
21h         Normal    Created             pod/web-deployment-76ddf5fcf9-rrnsg    Container created
21h         Normal    Pulled              pod/web-deployment-76ddf5fcf9-ngwfc    Container image "nginx:1.30-alpine" already present on machine and can be accessed by the pod
21h         Normal    Created             pod/web-deployment-76ddf5fcf9-ngwfc    Container created
21h         Normal    Started             pod/web-deployment-76ddf5fcf9-ngwfc    Container started
21h         Normal    SuccessfulCreate    replicaset/web-deployment-76ddf5fcf9   Created pod: web-deployment-76ddf5fcf9-ngwfc
21h         Normal    Killing             pod/web-deployment-76ddf5fcf9-rrnsg    Stopping container web
21h         Normal    Pulled              pod/web-deployment-76ddf5fcf9-szxd8    Container image "nginx:1.30-alpine" already present on machine and can be accessed by the pod
21h         Normal    Started             pod/web-deployment-76ddf5fcf9-szxd8    Container started
