LAST SEEN   TYPE      REASON                  OBJECT                                    MESSAGE
56m         Normal    Scheduled               pod/static-writer                         Successfully assigned dso202-practical-02/static-writer to worker-node-1
56m         Normal    Pulling                 pod/static-writer                         Pulling image "busybox:1.37"
56m         Normal    Pulled                  pod/static-writer                         Successfully pulled image "busybox:1.37" in 9.689s (9.689s including waiting). Image size: 1911349 bytes.
56m         Normal    Created                 pod/static-writer                         Container created
56m         Normal    Started                 pod/static-writer                         Container started
55m         Normal    Killing                 pod/static-writer                         Stopping container writer
54m         Normal    Started                 pod/static-writer                         Container started
54m         Normal    Pulled                  pod/static-writer                         Container image "busybox:1.37" already present on machine and can be accessed by the pod
54m         Normal    Scheduled               pod/static-writer                         Successfully assigned dso202-practical-02/static-writer to worker-node-1
54m         Normal    Created                 pod/static-writer                         Container created
54m         Normal    Killing                 pod/static-writer                         Stopping container writer
52m         Normal    Started                 pod/static-writer                         Container started
52m         Normal    Scheduled               pod/static-writer                         Successfully assigned dso202-practical-02/static-writer to worker-node-1
52m         Normal    Pulled                  pod/static-writer                         Container image "busybox:1.37" already present on machine and can be accessed by the pod
52m         Normal    Created                 pod/static-writer                         Container created
49m         Normal    WaitForFirstConsumer    persistentvolumeclaim/dynamic-data        waiting for first consumer to be created before binding
49m         Normal    ExternalProvisioning    persistentvolumeclaim/dynamic-data        Waiting for a volume to be created either by the external provisioner 'rancher.io/local-path' or manually by the system administrator. If volume creation is delayed, please verify that the provisioner is running and correctly registered.
49m         Normal    Provisioning            persistentvolumeclaim/dynamic-data        External provisioner is provisioning volume for claim "dso202-practical-02/dynamic-data"
49m         Normal    ProvisioningSucceeded   persistentvolumeclaim/dynamic-data        Successfully provisioned volume pvc-ef4cba2f-c385-40a5-8032-173d151e2dfe
49m         Normal    Scheduled               pod/dynamic-writer                        Successfully assigned dso202-practical-02/dynamic-writer to worker-node-2
49m         Normal    Pulling                 pod/dynamic-writer                        Pulling image "busybox:1.37"
49m         Normal    Pulled                  pod/dynamic-writer                        Successfully pulled image "busybox:1.37" in 17.172s (17.172s including waiting). Image size: 1911349 bytes.
49m         Normal    Created                 pod/dynamic-writer                        Container created
49m         Normal    Started                 pod/dynamic-writer                        Container started
46m         Normal    Killing                 pod/dynamic-writer                        Stopping container writer
44m         Normal    ExternalProvisioning    persistentvolumeclaim/shared-data         Waiting for a volume to be created either by the external provisioner 'rancher.io/local-path' or manually by the system administrator. If volume creation is delayed, please verify that the provisioner is running and correctly registered.
44m         Warning   FailedScheduling        pod/shared-writer-6f4b987c7b-79j5k        running PreBind plugin "VolumeBinding": Operation cannot be fulfilled on persistentvolumeclaims "shared-data": the object has been modified; please apply your changes to the latest version and try again
44m         Warning   FailedScheduling        pod/shared-writer-6f4b987c7b-gzb4x        running PreBind plugin "VolumeBinding": Operation cannot be fulfilled on persistentvolumeclaims "shared-data": the object has been modified; please apply your changes to the latest version and try again
44m         Normal    Provisioning            persistentvolumeclaim/shared-data         External provisioner is provisioning volume for claim "dso202-practical-02/shared-data"
44m         Normal    WaitForFirstConsumer    persistentvolumeclaim/shared-data         waiting for first consumer to be created before binding
44m         Normal    SuccessfulCreate        replicaset/shared-writer-6f4b987c7b       Created pod: shared-writer-6f4b987c7b-vpbfl
44m         Normal    SuccessfulCreate        replicaset/shared-writer-6f4b987c7b       Created pod: shared-writer-6f4b987c7b-gzb4x
44m         Normal    SuccessfulCreate        replicaset/shared-writer-6f4b987c7b       Created pod: shared-writer-6f4b987c7b-79j5k
